Iteration     Total nfev        Cost      Cost reduction    Step norm     Optimality
       0              1         8.6327e+03                                    3.86e+05
       1              3         6.3458e+03      2.29e+03       2.99e-02       3.78e+05
       2              4         5.1045e+03      1.24e+03       2.76e-02       3.09e+05
       3              5         4.1838e+03      9.21e+02       2.80e-02       2.97e+05
       4              6         3.8054e+03      3.78e+02       2.87e-02       3.13e+05
       5              7         3.1618e+03      6.44e+02       7.53e-03       2.08e+05
       6              8         2.9927e+03      1.69e+02       1.57e-02       1.83e+05
       7              9         2.7276e+03      2.65e+02       4.08e-03       1.49e+05
       8             10         2.5014e+03      2.26e+02       4.28e-03       5.66e+04
       9             11         2.2473e+03      2.54e+02       5.42e-03       1.35e+05
      10             12         2.1547e+03      9.26e+01       5.16e-03       1.69e+05
      11             13         2.0788e+03      7.59e+01       3.25e-03       1.14e+05
      12             14         2.0168e+03      6.20e+01       3.93e-03       1.44e+05
      13             15         1.9616e+03      5.51e+01       2.92e-03       9.68e+04
      14             16         1.9150e+03      4.66e+01       3.01e-03       1.27e+05
      15             17         1.8731e+03      4.19e+01       2.36e-03       8.13e+04
      16             18         1.8343e+03      3.88e+01       3.01e-03       1.12e+05
      17             19         1.8000e+03      3.44e+01       2.04e-03       7.18e+04
      18             20         1.7697e+03      3.03e+01       2.50e-03       1.04e+05
      19             21         1.7426e+03      2.71e+01       1.81e-03       6.32e+04
      20             22         1.7174e+03      2.52e+01       2.26e-03       9.33e+04
      21             23         1.6952e+03      2.22e+01       1.60e-03       5.29e+04
      22             24         1.6750e+03      2.02e+01       1.86e-03       8.64e+04
      23             25         1.6573e+03      1.78e+01       1.38e-03       5.01e+04
      24             26         1.6417e+03      1.56e+01       1.56e-03       7.48e+04
      25             27         1.6275e+03      1.42e+01       1.13e-03       4.47e+04
      26             28         1.6144e+03      1.31e+01       1.32e-03       6.71e+04
      27             29         1.6022e+03      1.22e+01       1.06e-03       4.27e+04
      28             30         1.5911e+03      1.11e+01       1.14e-03       6.22e+04
      29             31         1.5809e+03      1.02e+01       9.39e-04       4.10e+04
      30             32         1.5714e+03      9.51e+00       1.04e-03       5.72e+04
      31             33         1.5622e+03      9.20e+00       9.32e-04       3.92e+04
      32             34         1.5535e+03      8.63e+00       9.36e-04       5.29e+04
      33             35         1.5456e+03      7.90e+00       7.93e-04       3.81e+04
      34             36         1.5383e+03      7.38e+00       8.43e-04       4.95e+04
      35             37         1.5311e+03      7.12e+00       7.72e-04       3.68e+04
      36             38         1.5245e+03      6.67e+00       7.89e-04       4.54e+04
      37             39         1.5182e+03      6.29e+00       7.23e-04       3.56e+04
      38             40         1.5122e+03      5.97e+00       7.36e-04       4.32e+04
      39             41         1.5064e+03      5.83e+00       7.06e-04       3.45e+04
      40             42         1.5008e+03      5.58e+00       6.95e-04       4.02e+04
      41             43         1.4956e+03      5.23e+00       6.57e-04       3.26e+04
      42             44         1.4905e+03      5.02e+00       6.74e-04       3.96e+04
      43             45         1.4856e+03      4.92e+00       6.43e-04       3.20e+04
      44             46         1.4810e+03      4.65e+00       6.44e-04       3.75e+04
      45             47         1.4765e+03      4.44e+00       6.04e-04       3.13e+04
      46             48         1.4721e+03      4.40e+00       6.34e-04       3.56e+04
      47             49         1.4679e+03      4.21e+00       5.89e-04       2.97e+04
      48             50         1.4639e+03      4.05e+00       5.90e-04       3.54e+04
      49             51         1.4598e+03      4.05e+00       5.90e-04       2.67e+04
      50             52         1.4560e+03      3.79e+00       5.81e-04       3.32e+04
      51             53         1.4525e+03      3.55e+00       5.19e-04       2.71e+04
      52             54         1.4490e+03      3.44e+00       5.55e-04       3.13e+04
      53             55         1.4457e+03      3.29e+00       5.09e-04       2.63e+04
      54             56         1.4426e+03      3.18e+00       5.20e-04       3.10e+04
      55             57         1.4387e+03      3.84e+00       6.90e-04       2.19e+04
      56             58         1.4350e+03      3.71e+00       5.91e-04       2.55e+04
      57             59         1.4320e+03      2.96e+00       4.57e-04       2.53e+04
      58             60         1.4293e+03      2.77e+00       4.71e-04       2.53e+04
      59             61         1.4265e+03      2.74e+00       4.74e-04       2.45e+04
      60             62         1.4239e+03      2.61e+00       4.44e-04       2.52e+04
      61             63         1.4214e+03      2.49e+00       4.51e-04       2.38e+04
      62             64         1.4189e+03      2.51e+00       4.57e-04       2.45e+04
      63             65         1.4165e+03      2.41e+00       4.55e-04       2.34e+04
      64             66         1.4142e+03      2.32e+00       4.44e-04       2.41e+04
      65             67         1.4119e+03      2.32e+00       4.82e-04       2.27e+04
      66             68         1.4096e+03      2.28e+00       4.22e-04       2.38e+04
      67             69         1.4075e+03      2.15e+00       4.28e-04       2.24e+04
      68             70         1.4054e+03      2.03e+00       4.04e-04       2.31e+04
      69             71         1.4034e+03      2.01e+00       4.17e-04       2.15e+04
      70             72         1.4013e+03      2.14e+00       4.72e-04       2.08e+04
      71             73         1.3993e+03      2.00e+00       4.28e-04       2.14e+04
      72             74         1.3975e+03      1.81e+00       3.73e-04       2.14e+04
      73             75         1.3957e+03      1.77e+00       3.79e-04       2.11e+04
      74             76         1.3940e+03      1.73e+00       3.64e-04       2.12e+04
      75             77         1.3923e+03      1.68e+00       3.68e-04       2.03e+04
      76             78         1.3907e+03      1.63e+00       3.62e-04       2.02e+04
      77             79         1.3891e+03      1.58e+00       3.59e-04       1.98e+04
      78             80         1.3876e+03      1.51e+00       3.42e-04       1.95e+04
